destination,aspecto,n_menciones,n_resenas_unicas,n_positivo,n_neutro,n_negativo,prop_positivo,prop_neutro,prop_negativo,score_sentimiento,etiqueta_dominante,nivel_evidencia,conflict_flag,confianza
Centro Histórico de Lima,accesibilidad,146,146,136,8,2,0.9315,0.0548,0.0137,0.9178,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,aforo_multitudes,214,214,197,13,4,0.9206,0.0607,0.0187,0.9019,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,alojamiento,18,18,14,3,1,0.7778,0.1667,0.0556,0.7222,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,atencion_servicio,106,106,99,6,1,0.934,0.0566,0.0094,0.9245,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,atractivos,984,984,948,31,5,0.9634,0.0315,0.0051,0.9583,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,clima,33,33,30,3,0,0.9091,0.0909,0.0,0.9091,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,costos,71,71,69,1,1,0.9718,0.0141,0.0141,0.9577,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,gastronomia,222,222,211,10,1,0.9505,0.045,0.0045,0.9459,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,limpieza,221,221,210,7,4,0.9502,0.0317,0.0181,0.9321,positivo,evidencia suficiente,0,1.0
Centro Histórico de Lima,seguridad,305,305,286,13,6,0.9377,0.0426,0.0197,0.918,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,accesibilidad,425,425,381,17,27,0.8965,0.04,0.0635,0.8329,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,aforo_multitudes,265,265,214,26,25,0.8075,0.0981,0.0943,0.7132,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,alojamiento,21,21,17,3,1,0.8095,0.1429,0.0476,0.7619,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,atencion_servicio,130,130,104,9,17,0.8,0.0692,0.1308,0.6692,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,atractivos,973,973,918,36,19,0.9435,0.037,0.0195,0.9239,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,clima,69,69,60,4,5,0.8696,0.058,0.0725,0.7971,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,costos,558,558,489,34,35,0.8763,0.0609,0.0627,0.8136,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,gastronomia,188,188,169,10,9,0.8989,0.0532,0.0479,0.8511,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,limpieza,225,225,191,15,19,0.8489,0.0667,0.0844,0.7644,positivo,evidencia suficiente,0,1.0
Circuito Mágico del Agua,seguridad,102,102,90,6,6,0.8824,0.0588,0.0588,0.8235,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,accesibilidad,193,193,176,9,8,0.9119,0.0466,0.0415,0.8705,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,aforo_multitudes,55,55,48,4,3,0.8727,0.0727,0.0545,0.8182,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,alojamiento,10,10,9,0,1,0.9,0.0,0.1,0.8,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,atencion_servicio,131,131,118,4,9,0.9008,0.0305,0.0687,0.8321,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,atractivos,436,436,415,12,9,0.9518,0.0275,0.0206,0.9312,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,clima,51,51,48,1,2,0.9412,0.0196,0.0392,0.902,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,costos,85,85,73,5,7,0.8588,0.0588,0.0824,0.7765,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,gastronomia,23,23,22,0,1,0.9565,0.0,0.0435,0.913,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,limpieza,20,20,20,0,0,1.0,0.0,0.0,1.0,positivo,evidencia suficiente,0,1.0
Ciudadela de Kuélap,seguridad,21,21,19,0,2,0.9048,0.0,0.0952,0.8095,positivo,evidencia suficiente,0,1.0
Líneas y Geoglifos de Nasca y Palpa,accesibilidad,42,42,35,5,2,0.8333,0.119,0.0476,0.7857,positivo,evidencia suficiente,0,1.0
Líneas y Geoglifos de Nasca y Palpa,aforo_multitudes,32,32,27,3,2,0.8438,0.0938,0.0625,0.7812,positivo,evidencia suficiente,0,1.0
Líneas y Geoglifos de Nasca y Palpa,alojamiento,5,5,4,0,1,0.8,0.0,0.2,0.6,positivo,baja evidencia,0,0.5
Líneas y Geoglifos de Nasca y Palpa,atencion_servicio,29,29,25,3,1,0.8621,0.1034,0.0345,0.8276,positivo,evidencia suficiente,0,1.0
Líneas y Geoglifos de Nasca y Palpa,atractivos,143,143,134,7,2,0.9371,0.049,0.014,0.9231,positivo,evidencia suficiente,0,1.0
Líneas y Geoglifos de Nasca y Palpa,clima,18,18,18,0,0,1.0,0.0,0.0,1.0,positivo,evidencia suficiente,0,1.0
Líneas y Geoglifos de Nasca y Palpa,costos,35,35,24,5,6,0.6857,0.1429,0.1714,0.5143,positivo,evidencia suficiente,0,1.0
Líneas y Geoglifos de Nasca y Palpa,gastronomia,3,3,3,0,0,1.0,0.0,0.0,1.0,positivo,evidencia insuficiente,0,0.3
Líneas y Geoglifos de Nasca y Palpa,limpieza,4,4,1,2,1,0.25,0.5,0.25,0.0,neutro,evidencia insuficiente,0,0.4
Líneas y Geoglifos de Nasca y Palpa,seguridad,11,11,10,0,1,0.9091,0.0,0.0909,0.8182,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,accesibilidad,188,188,170,7,11,0.9043,0.0372,0.0585,0.8457,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,aforo_multitudes,96,96,91,2,3,0.9479,0.0208,0.0312,0.9167,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,alojamiento,28,28,28,0,0,1.0,0.0,0.0,1.0,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,atencion_servicio,449,449,421,14,14,0.9376,0.0312,0.0312,0.9065,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,atractivos,698,698,676,13,9,0.9685,0.0186,0.0129,0.9556,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,clima,36,36,36,0,0,1.0,0.0,0.0,1.0,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,costos,347,347,315,15,17,0.9078,0.0432,0.049,0.8588,positivo,evidencia suficiente,0,1.0
Monasterio de Santa Catalina,gastronomia,15,15,13,0,2,0.8667,0.0,0.1333,0.7333,positivo,evidencia suficiente,0,1.0
