destination,aspecto,score_normalizado_0_1,total_tuplas,diagnostico
Centro Histórico de Lima,accesibilidad,0.4863013698630137,146.0,percepcion_mixta
Centro Histórico de Lima,aforo_multitudes,0.3317757009345794,214.0,percepcion_desfavorable
Centro Histórico de Lima,alojamiento,0.6666666666666666,18.0,percepcion_mixta
Centro Histórico de Lima,atencion_servicio,0.7688679245283019,106.0,percepcion_favorable
Centro Histórico de Lima,atractivos,0.9857723577235773,984.0,percepcion_favorable
Centro Histórico de Lima,clima,0.3484848484848485,33.0,percepcion_desfavorable
Centro Histórico de Lima,costos,0.45774647887323944,71.0,percepcion_mixta
Centro Histórico de Lima,gastronomia,0.5653153153153153,222.0,percepcion_mixta
Centro Histórico de Lima,limpieza,0.9276018099547512,221.0,percepcion_favorable
Centro Histórico de Lima,seguridad,0.7573770491803279,305.0,percepcion_favorable
Circuito Mágico del Agua,accesibilidad,0.4894117647058824,425.0,percepcion_mixta
Circuito Mágico del Agua,aforo_multitudes,0.28679245283018867,265.0,percepcion_desfavorable
Circuito Mágico del Agua,alojamiento,0.7857142857142857,21.0,percepcion_favorable
Circuito Mágico del Agua,atencion_servicio,0.6730769230769231,130.0,percepcion_mixta
Circuito Mágico del Agua,atractivos,0.9948612538540595,973.0,percepcion_favorable
Circuito Mágico del Agua,clima,0.3188405797101449,69.0,percepcion_desfavorable
Circuito Mágico del Agua,costos,0.5519713261648745,558.0,percepcion_mixta
Circuito Mágico del Agua,gastronomia,0.5212765957446809,188.0,percepcion_mixta
Circuito Mágico del Agua,limpieza,0.8577777777777778,225.0,percepcion_favorable
Circuito Mágico del Agua,seguridad,0.8088235294117647,102.0,percepcion_favorable
Ciudadela de Kuélap,accesibilidad,0.49222797927461137,193.0,percepcion_mixta
Ciudadela de Kuélap,aforo_multitudes,0.42727272727272725,55.0,percepcion_mixta
Ciudadela de Kuélap,alojamiento,0.6,10.0,percepcion_mixta
Ciudadela de Kuélap,atencion_servicio,0.6641221374045801,131.0,percepcion_mixta
Ciudadela de Kuélap,atractivos,0.9885321100917431,436.0,percepcion_favorable
Ciudadela de Kuélap,clima,0.38235294117647056,51.0,percepcion_desfavorable
Ciudadela de Kuélap,costos,0.4411764705882353,85.0,percepcion_mixta
Ciudadela de Kuélap,gastronomia,0.5,23.0,percepcion_mixta
Ciudadela de Kuélap,limpieza,1.0,20.0,percepcion_favorable
Ciudadela de Kuélap,seguridad,0.8333333333333333,21.0,percepcion_favorable
Líneas y Geoglifos de Nasca y Palpa,accesibilidad,0.5,42.0,percepcion_mixta
Líneas y Geoglifos de Nasca y Palpa,aforo_multitudes,0.421875,32.0,percepcion_mixta
Líneas y Geoglifos de Nasca y Palpa,alojamiento,0.5,5.0,soporte_bajo
Líneas y Geoglifos de Nasca y Palpa,atencion_servicio,0.6379310344827587,29.0,percepcion_mixta
Líneas y Geoglifos de Nasca y Palpa,atractivos,0.979020979020979,143.0,percepcion_favorable
Líneas y Geoglifos de Nasca y Palpa,clima,0.25,18.0,percepcion_desfavorable
Líneas y Geoglifos de Nasca y Palpa,costos,0.35714285714285715,35.0,percepcion_desfavorable
Líneas y Geoglifos de Nasca y Palpa,gastronomia,0.5,3.0,soporte_bajo
Líneas y Geoglifos de Nasca y Palpa,limpieza,0.375,4.0,soporte_bajo
Líneas y Geoglifos de Nasca y Palpa,seguridad,0.7272727272727273,11.0,percepcion_favorable
Monasterio de Santa Catalina,accesibilidad,0.4920212765957447,188.0,percepcion_mixta
Monasterio de Santa Catalina,aforo_multitudes,0.4427083333333333,96.0,percepcion_mixta
Monasterio de Santa Catalina,alojamiento,0.6785714285714286,28.0,percepcion_mixta
Monasterio de Santa Catalina,atencion_servicio,0.7048997772828508,449.0,percepcion_favorable
Monasterio de Santa Catalina,atractivos,0.9914040114613181,698.0,percepcion_favorable
Monasterio de Santa Catalina,clima,0.4583333333333333,36.0,percepcion_mixta
Monasterio de Santa Catalina,costos,0.4884726224783862,347.0,percepcion_mixta
Monasterio de Santa Catalina,gastronomia,0.5,15.0,percepcion_mixta
Monasterio de Santa Catalina,limpieza,0.9032258064516129,31.0,percepcion_favorable
Monasterio de Santa Catalina,seguridad,1.0,4.0,soporte_bajo
Museo Tumbas Reales del Señor de Sipán,accesibilidad,0.5,105.0,percepcion_mixta
Museo Tumbas Reales del Señor de Sipán,aforo_multitudes,0.4,60.0,percepcion_desfavorable
Museo Tumbas Reales del Señor de Sipán,alojamiento,0.5,4.0,soporte_bajo
Museo Tumbas Reales del Señor de Sipán,atencion_servicio,0.7038834951456311,309.0,percepcion_favorable
Museo Tumbas Reales del Señor de Sipán,atractivos,0.9884510869565217,736.0,percepcion_favorable
Museo Tumbas Reales del Señor de Sipán,clima,0.40740740740740744,27.0,percepcion_mixta
Museo Tumbas Reales del Señor de Sipán,costos,0.4961832061068702,131.0,percepcion_mixta
Museo Tumbas Reales del Señor de Sipán,gastronomia,0.5454545454545454,11.0,percepcion_mixta
Museo Tumbas Reales del Señor de Sipán,limpieza,0.9555555555555555,45.0,percepcion_favorable
Museo Tumbas Reales del Señor de Sipán,seguridad,0.7037037037037037,27.0,percepcion_favorable
Museo de Sitio Huaca Pucllana,accesibilidad,0.4949748743718593,199.0,percepcion_mixta
Museo de Sitio Huaca Pucllana,aforo_multitudes,0.44086021505376344,93.0,percepcion_mixta
Museo de Sitio Huaca Pucllana,alojamiento,0.6470588235294118,17.0,percepcion_mixta
Museo de Sitio Huaca Pucllana,atencion_servicio,0.7223053892215568,668.0,percepcion_favorable
Museo de Sitio Huaca Pucllana,atractivos,0.9855832241153342,763.0,percepcion_favorable
Museo de Sitio Huaca Pucllana,clima,0.375,92.0,percepcion_desfavorable
Museo de Sitio Huaca Pucllana,costos,0.5909090909090909,297.0,percepcion_mixta
Museo de Sitio Huaca Pucllana,gastronomia,0.5376344086021505,279.0,percepcion_mixta
Museo de Sitio Huaca Pucllana,limpieza,0.9642857142857143,28.0,percepcion_favorable
Museo de Sitio Huaca Pucllana,seguridad,0.8888888888888888,18.0,percepcion_favorable
Reserva Nacional de Paracas,accesibilidad,0.489247311827957,93.0,percepcion_mixta
Reserva Nacional de Paracas,aforo_multitudes,0.32242990654205606,107.0,percepcion_desfavorable
Reserva Nacional de Paracas,alojamiento,0.6,10.0,percepcion_mixta
Reserva Nacional de Paracas,atencion_servicio,0.6057692307692307,52.0,percepcion_mixta
Reserva Nacional de Paracas,atractivos,0.9902676399026764,411.0,percepcion_favorable
Reserva Nacional de Paracas,clima,0.32432432432432434,111.0,percepcion_desfavorable
Reserva Nacional de Paracas,costos,0.38414634146341464,82.0,percepcion_desfavorable
Reserva Nacional de Paracas,gastronomia,0.4701492537313433,67.0,percepcion_mixta
Reserva Nacional de Paracas,limpieza,0.8957055214723926,163.0,percepcion_favorable
Reserva Nacional de Paracas,seguridad,0.8448275862068966,29.0,percepcion_favorable
Santuario Histórico de Machu Picchu,accesibilidad,0.48870822041553746,1107.0,percepcion_mixta
Santuario Histórico de Machu Picchu,aforo_multitudes,0.3328402366863905,676.0,percepcion_desfavorable
Santuario Histórico de Machu Picchu,alojamiento,0.5340909090909091,132.0,percepcion_mixta
Santuario Histórico de Machu Picchu,atencion_servicio,0.6658767772511849,844.0,percepcion_mixta
Santuario Histórico de Machu Picchu,atractivos,0.9867862199150543,2119.0,percepcion_favorable
Santuario Histórico de Machu Picchu,clima,0.25043630017452007,573.0,percepcion_desfavorable
Santuario Histórico de Machu Picchu,costos,0.4250741839762611,674.0,percepcion_mixta
Santuario Histórico de Machu Picchu,gastronomia,0.504,125.0,percepcion_mixta
Santuario Histórico de Machu Picchu,limpieza,0.7624113475177305,141.0,percepcion_favorable
Santuario Histórico de Machu Picchu,seguridad,0.536144578313253,83.0,percepcion_mixta
Valle del Colca,accesibilidad,0.48739495798319327,119.0,percepcion_mixta
Valle del Colca,aforo_multitudes,0.4107142857142857,56.0,percepcion_mixta
Valle del Colca,alojamiento,0.5945945945945946,37.0,percepcion_mixta
Valle del Colca,atencion_servicio,0.7203389830508474,59.0,percepcion_favorable
Valle del Colca,atractivos,0.9920634920634921,504.0,percepcion_favorable
Valle del Colca,clima,0.3263157894736842,95.0,percepcion_desfavorable
Valle del Colca,costos,0.40476190476190477,42.0,percepcion_mixta
Valle del Colca,gastronomia,0.5175438596491229,57.0,percepcion_mixta
Valle del Colca,limpieza,0.9411764705882353,34.0,percepcion_favorable
