destination,aspecto,y_true,y_pred,tipo_error,confianza,patron_tentativo,text_clean
Museo Tumbas Reales del Señor de Sipán,alojamiento,negativo,neutro,negativo→neutro,0.7717,aspecto_debil,El señor de Sipan is not open to the public at this time. Please know this. The museum should disclose this on google maps. They are doing maintenance on the room he is in. Two temporary exhibitions are open and entrance is free. The guides and staff are most apologetic about this . We travelled a long way to see this. If we had known we would not have come this way. Email museum before you travel. They respond on Facebook. Might open in January 2024. Check first and save yourself the disappointment. Brunning museum is still worth a visit.
Monasterio de Santa Catalina,accesibilidad,negativo,neutro,negativo→neutro,0.749,ambiguedad_semantica,"Colourfull monestary with lot´s of old artefacts, a bit of a maze and a lovely coffeeshop. The religious music was too much but that belongs in this places I guess"
Circuito Mágico del Agua,alojamiento,negativo,neutro,negativo→neutro,0.7344,aspecto_debil,"Incredible. Don't take tour because you need a couple hours. Do come with a group, leave expensive things and money at hotel. THIS IS A MUST SEE, MUST PHOTO OP!"
Líneas y Geoglifos de Nasca y Palpa,accesibilidad,negativo,neutro,negativo→neutro,0.7162,ambiguedad_semantica,"Something I'd wanted to do since a kid, and sorry to say but it was underwhelming. Not real different to seeing pictures in a book. If it is something you want to do, go for it, but it takes some time and effort to get there and do it so can't really strongly recommend"
Museo de Sitio Huaca Pucllana,clima,negativo,neutro,negativo→neutro,0.7006,aspecto_debil,"Lugar imperdible si les gusta la historia, dan tours en diferentes idiomas, recomiendo usar protector solar ya que todo el tiempo se está en el sol, y hay un restaurante a un costado"
Líneas y Geoglifos de Nasca y Palpa,limpieza,negativo,neutro,negativo→neutro,0.6836,resena_mixta,"Together with the Rainbow Mountains and the Machu Picchu my highlight of visiting Peru. The lines look absolutely stunning from the airplane. Got to take so many great pictures of the different figures. Take a motion sickness pill before the flight as the winds are quite strong and the planes are very small. Most providers do hand out some strong smelling alcohol on a cotton pad to put in front of your nose to get you through the whole of the flight in case you do get motion sick. Once on the ground, the facility also has a room for you to lie down and recover. Great place to buy some Nazca unique souvenirs you won't find anywhere else in Peru."
Circuito Mágico del Agua,costos,negativo,neutro,negativo→neutro,0.6754,ambiguedad_semantica,La verdad es que puedes disfrutar de sus fuentes colores de noche pero pagas entrada y te cobran el uso de los baños. Cualquier atracción en el parque tiene un costo extra.
Museo Tumbas Reales del Señor de Sipán,accesibilidad,negativo,neutro,negativo→neutro,0.6715,ambiguedad_semantica,"Es difícil puntuar como corresponde al Museo porque hay varios factores para tener en cuenta. Para empezar, cuando una entra al estacionamiento, tiene que volver a la entrada para adquirir el ingreso y el valor nos pareció más bien de índole simbólica * 10 soles para adultes * 4 soles para adultes mayores y estudiantes *1.50 soles niñes. Ingresamos en subida al mismo, y me quedé pensando, si la subida es tan empinada, ¿Cómo hacen para ingresar las personas con movilidad reducida o usuaries de silla de ruedas? Adentro del museo, el calor, hacia mitad del recorrido se hace realmente muy pesado, sumándole a la experiencia el uso obligatorio que tenemos que hacer como corresponde de la mascarilla. La exposición entera, está muy bien armada, sólo a veces (muy pocas en realidad) el relato construido para guiar la visita cambia de persona, al principio se mantiene con una ""objetividad"" y luego pasa a una primera persona colectiva. A tener en cuenta algunos de los termómetros no funcionan (: Es la cuarta vez que viajo hasta Lambayeque para poder compartir esta belleza de museo, en esta ocasión, fui acompañada de tres personas más y resulta que la última sala que es realmente la frutilla en el postre. Casi que el impulso principal para ver tan increíble sala viva, resulta que está inhabilitada, cerrada por covid. Lo cual, es ilógico debido a que estamos dentro del museo y esa sala, no se diferencia en exposición del resto de las salas. Así que, sigue siendo recomendable, pero deberían reactivarla."
Santuario Histórico de Machu Picchu,clima,negativo,neutro,negativo→neutro,0.6526,aspecto_debil,"Visité Machu Picchu y subí hasta Waynapicchu, y sinceramente fue una experiencia increíble. Todo el camino tiene su encanto, desde la puerta de entrada hasta la vista desde arriba. Estar en la inmensidad de esta historia, mirando las montañas y las ruinas, es algo que cuesta explicar con palabras. Recomiendo ir temprano si pueden, porque el lugar se llena rápido y el sol pega fuerte. Lleven agua, protector solar y buen calzado, la caminata se siente pero vale totalmente la pena. Recomiendo dos o tres frutas para acompañar. Subí algunas fotos y videos para que se vea un poco de lo que es estar ahí, aunque en persona no se compara. Si tienen la oportunidad de hacerlo, no lo duden. Contemplen, mediten, absorban de esta maravillosa energía ancestral."
Santuario Histórico de Machu Picchu,accesibilidad,negativo,neutro,negativo→neutro,0.6188,ambiguedad_semantica,"Tuve la oportunidad de visitar el lugar en 2018 y, en ese momento, fue una experiencia única. Pude hacer el recorrido saliendo de Cusco y regresando el mismo día. Lamentablemente, hoy el costo de ingreso se ha incrementado de manera considerable y, con el nuevo sistema de circuitos, ya no es posible recorrer todo el sitio. Prácticamente es obligatorio quedarse al menos una noche en Machu Picchu Pueblo para subir al día siguiente, lo que hace muy difícil realizar todo el recorrido en una sola jornada. El lugar sigue siendo increíble, pero la experiencia ya no se siente igual."
